Fri Jan 10 15:49:34 2014    profiling/game.run.profile

         8844407 function calls (8839797 primitive calls) in 26.332 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       84    0.000    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:494(_get_text2)
        1    0.000    0.000    0.005    0.005 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:930(pickle_load)
      191    0.000    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:737(from_bounds)
      312    0.002    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/text.py:152(__init__)
     4799    0.005    0.000    0.005    0.000 /usr/lib/python2.7/weakref.py:243(__init__)
        1    0.002    0.002    0.005    0.005 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:3(<module>)
      420    0.002    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:643(__init__)
     1194    0.002    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:126(set_children)
      199    0.000    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:747(from_extents)
        1    0.001    0.001    0.005    0.005 /usr/lib/python2.7/urllib.py:23(<module>)
        5    0.000    0.000    0.005    0.001 /usr/lib/pymodules/python2.7/matplotlib/figure.py:303(_set_dpi)
        1    0.001    0.001    0.005    0.005 /usr/lib/python2.7/decimal.py:116(<module>)
     9107    0.005    0.000    0.005    0.000 {math.atan2}
        1    0.005    0.005    0.005    0.005 {cPickle.load}
        1    0.000    0.000    0.005    0.005 /usr/lib/pymodules/python2.7/matplotlib/collections.py:10(<module>)
       14    0.000    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyparsing.py:1705(__init__)
      302    0.001    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1873(__init__)
      859    0.003    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/numpy/core/numeric.py:1830(identity)
    18983    0.005    0.000    0.005    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:146(add_internal)
      934    0.005    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:74(__init__)
  196/188    0.001    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1732(transform)
    22289    0.004    0.000    0.004    0.000 {max}
       34    0.004    0.000    0.004    0.000 {built-in method draw_text_image}
        8    0.004    0.001    0.004    0.001 {method 'close' of 'file' objects}
        1    0.000    0.000    0.004    0.004 /usr/lib/pymodules/python2.7/matplotlib/__init__.py:689(rc_params)
      102    0.004    0.000    0.004    0.000 {built-in method set_text}
     1042    0.001    0.000    0.004    0.000 code/geometry.py:26(inSights)
       11    0.000    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:788(__init__)
     2846    0.001    0.000    0.004    0.000 /usr/lib/python2.7/sre_parse.py:201(get)
        1    0.000    0.000    0.004    0.004 /usr/lib/pymodules/python2.7/matplotlib/contour.py:4(<module>)
       11    0.001    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:805(get_aliases)
       12    0.000    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:371(draw)
        4    0.000    0.000    0.004    0.001 /usr/lib/python2.7/tempfile.py:226(_mkstemp_inner)
        1    0.000    0.000    0.004    0.004 /usr/lib/pymodules/python2.7/matplotlib/lines.py:4(<module>)
       68    0.000    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1155(transform_path_non_affine)
      926    0.004    0.000    0.004    0.000 {numpy.core._dotblas.dot}
     1700    0.003    0.000    0.003    0.000 /usr/lib/pymodules/python2.7/matplotlib/cbook.py:381(is_string_like)
     2055    0.003    0.000    0.003    0.000 /usr/lib/pymodules/python2.7/matplotlib/cbook.py:372(iterable)
       11    0.002    0.000    0.003    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:857(_get_setters_and_targets)
     4025    0.002    0.000    0.003    0.000 /usr/lib/pymodules/python2.7/numpy/ma/core.py:5634(isMaskedArray)
