Fri Jan 10 15:43:55 2014    profiling/game.run.profile

         8189053 function calls (8184595 primitive calls) in 25.530 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1037    0.001    0.000    0.004    0.000 code/geometry.py:26(inSights)
     2846    0.001    0.000    0.004    0.000 /usr/lib/python2.7/sre_parse.py:201(get)
  172/164    0.001    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1732(transform)
        1    0.000    0.000    0.004    0.004 /usr/lib/pymodules/python2.7/matplotlib/contour.py:4(<module>)
       90    0.004    0.000    0.004    0.000 {built-in method set_text}
      886    0.004    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:74(__init__)
        8    0.004    0.000    0.004    0.000 {method 'close' of 'file' objects}
      146    0.000    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:729(unit)
        1    0.000    0.000    0.004    0.004 /usr/lib/pymodules/python2.7/matplotlib/lines.py:4(<module>)
     1935    0.003    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/cbook.py:372(iterable)
        1    0.001    0.001    0.004    0.004 /usr/lib/pymodules/python2.7/matplotlib/artist.py:1(<module>)
       12    0.000    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:371(draw)
       11    0.000    0.000    0.003    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:788(__init__)
       10    0.000    0.000    0.003    0.000 code/hudHelpers.py:45(getNewEnemy)
        4    0.000    0.000    0.003    0.001 /usr/lib/python2.7/tempfile.py:226(_mkstemp_inner)
     3398    0.003    0.000    0.003    0.000 /usr/lib/python2.7/sre_parse.py:182(__next)
     1318    0.001    0.000    0.003    0.000 code/ship.py:368(getStraightAhead)
       11    0.001    0.000    0.003    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:805(get_aliases)
     1572    0.002    0.000    0.003    0.000 /usr/lib/pymodules/python2.7/matplotlib/cbook.py:381(is_string_like)
