Tue Jan 14 15:00:07 2014    profiling/game.run.profile

         9249270 function calls (9244660 primitive calls) in 26.331 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6801    0.006    0.000    0.006    0.000 code/physicalObject.py:252(turn)
      154    0.001    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:533(_update_patch_transform)
     3791    0.005    0.000    0.006    0.000 code/physicalObject.py:279(approachSpeed)
       66    0.000    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:338(_get_text1)
        2    0.000    0.000    0.006    0.003 {__import__}
        1    0.001    0.001    0.006    0.006 /usr/lib/pymodules/python2.7/matplotlib/ticker.py:124(<module>)
        1    0.001    0.001    0.006    0.006 /usr/lib/pymodules/python2.7/matplotlib/backend_bases.py:29(<module>)
     1757    0.002    0.000    0.006    0.000 code/geometry.py:26(inSights)
        1    0.000    0.000    0.006    0.006 /usr/lib/pymodules/python2.7/matplotlib/backends/__init__.py:14(pylab_setup)
       61    0.000    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_agg.py:94(draw_markers)
        1    0.000    0.000    0.006    0.006 /usr/lib/python2.7/xml/sax/saxutils.py:4(<module>)
    18894    0.006    0.000    0.006    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:290(has_internal)
       66    0.000    0.000    0.006    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:357(_get_text2)
        1    0.000    0.000    0.005    0.005 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:930(pickle_load)
    26819    0.005    0.000    0.005    0.000 {max}
        1    0.002    0.002    0.005    0.005 /usr/lib/pymodules/python2.7/matplotlib/backends/backend_tkagg.py:3(<module>)
       61    0.005    0.000    0.005    0.000 {built-in method draw_markers}
      420    0.002    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/font_manager.py:643(__init__)
       84    0.000    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/axis.py:494(_get_text2)
        1    0.001    0.001    0.005    0.005 /usr/lib/python2.7/urllib.py:23(<module>)
      312    0.002    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/text.py:152(__init__)
        1    0.000    0.000    0.005    0.005 /usr/lib/python2.7/decimal.py:116(<module>)
      199    0.000    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:747(from_extents)
       14    0.000    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/pyparsing.py:1705(__init__)
        1    0.004    0.004    0.005    0.005 {cPickle.load}
      191    0.000    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:737(from_bounds)
      934    0.005    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:74(__init__)
      859    0.003    0.000    0.005    0.000 /usr/lib/pymodules/python2.7/numpy/core/numeric.py:1830(identity)
        5    0.000    0.000    0.004    0.001 /usr/lib/pymodules/python2.7/matplotlib/figure.py:303(_set_dpi)
      302    0.001    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1873(__init__)
    18894    0.004    0.000    0.004    0.000 /usr/lib/python2.7/dist-packages/pygame/sprite.py:146(add_internal)
  196/188    0.001    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1732(transform)
       34    0.004    0.000    0.004    0.000 {built-in method draw_text_image}
        1    0.002    0.002    0.004    0.004 /usr/lib/pymodules/python2.7/matplotlib/cm.py:6(<module>)
     1194    0.002    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:126(set_children)
      102    0.004    0.000    0.004    0.000 {built-in method set_text}
     2254    0.003    0.000    0.004    0.000 code/physicalObject.py:200(calculateDTheta)
        1    0.000    0.000    0.004    0.004 /usr/lib/pymodules/python2.7/matplotlib/contour.py:4(<module>)
     2846    0.001    0.000    0.004    0.000 /usr/lib/python2.7/sre_parse.py:201(get)
        8    0.004    0.000    0.004    0.000 {method 'close' of 'file' objects}
     1700    0.003    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/cbook.py:381(is_string_like)
       12    0.000    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/patches.py:371(draw)
       68    0.000    0.000    0.004    0.000 /usr/lib/pymodules/python2.7/matplotlib/transforms.py:1155(transform_path_non_affine)
        1    0.000    0.000    0.003    0.003 /usr/lib/pymodules/python2.7/matplotlib/lines.py:4(<module>)
      926    0.003    0.000    0.003    0.000 {numpy.core._dotblas.dot}
       11    0.000    0.000    0.003    0.000 /usr/lib/pymodules/python2.7/matplotlib/artist.py:788(__init__)
        1    0.000    0.000    0.003    0.003 /usr/lib/pymodules/python2.7/matplotlib/texmanager.py:34(<module>)
